VB5,1,VD6
VB6,0,
VB7,0,
VB8,0,
VB9,1,VD10
VC1,0,
VC2,0,
VC3,0,
VC4,0,
VC5,0,
VC6,0,
VD1,0,
VD10,0,
VD11,0,
VD12,1,AVL
VD13,0,
VD2,1,DD1
VD3,1,DD2
VD4,1,DD2
VD5,1,RID
VD6,0,
VD7,0,
VD8,0,
VD9,0,
